,district,R,Rproj
0,Barwani,1.1642520334860125,1.3942048803664298
1,Bhind,3.322195449570685,6.573269078969644
2,Bhopal,1.95643417092701,3.295442010224824
3,Chhindwara,,
4,Dewas,-0.17170354375714636,-1.8120885050171511
5,Dhar,0.8616851717303625,0.6680444121528701
6,Dindori,1.31356658168188,1.752559796036512
7,Gwalior,1.052680257828911,1.1264326187893863
8,Hoshangabad,0.30685281944006004,-0.663553233343856
9,Indore,-1.8691923565091626,-5.88606165562199
10,Jabalpur,-0.40447818320532436,-2.3707476396927785
11,Jhabua,,
12,Mandsaur,0.9492290879358329,0.878149811045999
13,Morena,2.687939786838923,5.051055488413415
14,Neemuch,-0.9481373242300006,-3.6755295781520014
15,Raisen,-0.07551759743342012,-1.5812422338402083
16,Ratlam,0.7702941328879784,0.4487059189311482
17,Rewa,1.1094804646009826,1.2627531150423583
18,Sagar,2.7249937729157914,5.1399850549979
19,Satna,0.9133566024300069,0.7920558458320166
20,Shajapur,,
21,Sheopur,,
22,Shivpuri,,
23,Tikamgarh,,
24,Ujjain,1.665784730715313,2.5978833537167514
25,Vidisha,0.7143988850949456,0.3145573242278695
